wl:1256.67  use:T print:T label:S2@1256 # In nist there is not wl:1256.00, there is 1 253.811 and 1 259.519
wl:1264.74  use:T print:T label:Si2@1263  # no wl:1263.32 in nist
wl:1304.86  use:T print:T label:@1304 # fluorescent line #OI obtained from Chianti
wl:1306.18  use:T print:T label:Si2@1308  # no wl:1307.66 in nist : 1 304.370, 1 309.276
wl:1334.53  use:T print:T label:C2@1335 
wl:1393.76  use:T print:T label:Si4@1394  
wl:1402.77  use:T print:T label:Si4@1403  
wl:1398.00  use:F print:F label:@1397 # sum of Si4 components
wl:1401.35  use:T print:T label:O4@1402 # no wl:1402.00    in nist, nor cloudy (1400 or 1401)
wl:1406.02  use:T print:T label:S4@1406 
wl:1485.00  use:F print:F label:N4@1485 
wl:1486.50  use:T print:T label:N4@1486 
wl:1528.97  use:T print:T label:Si2@1531  # no wl:1531.00 in nist: 1526.72, 1533.43
wl:1548.19  use:T print:T label:C4@1548 
wl:1550.77  use:T print:T label:C4@1551 
wl:1549.00  use:F print:F label:@1549 # sum of C4 components
wl:1574.70  use:T print:T label:Ne5@1575  
wl:1601.68  use:T print:T label:Ne4@1602  # no wl:1602.00   in nist
wl:1640.48  use:T print:T label:HeBaA@1640  
wl:1660.81  use:T print:T label:O3@1661 
wl:1665.00  use:F print:F label:@1665 
wl:1666.15  use:T print:T label:O3@1666 
wl:1670.79  use:T print:T label:Al2@1671  
wl:1718.55  use:T print:T label:N4@1719 
wl:1717.22  use:T print:T label:S3@1720 # no wl:1720.00    in nist (1713.12,1728.94), in chianti CII et AlII have line at 1720A
wl:1751.66  use:T print:T label:N3@1750 # total N III] 1750 (all components), no 1750.00  in nist
wl:1786.78  use:T print:T label:Fe2@1786  
wl:1812.38  use:T print:T label:Si2@1814  # no wl:1813.99   in nist : 1 808.013, 1 816.928
wl:1814.56  use:T print:T label:Ne3@1815  # no wl:1815.00 in nist
wl:1854.72  use:T print:T label:Al3@1855  
wl:1862.79  use:T print:T label:Al3@1863  
wl:1860.00  use:F print:F label:@1860 # sum of Al3 components
wl:1883.00  use:T print:T label:Si3@1883  # not in nist
wl:1888.00  use:F print:F label:@1888 
wl:1892.03  use:T print:T label:Si3@1892  # not in nist, taken from chianti
wl:1906.68  use:T print:T label:C3@1907 
wl:1907.70  use:F print:F label:@1909 
wl:1908.73  use:T print:T label:C3@1910 
wl:2169.08  use:T print:T label:Fe12@2169 
wl:2140.09  use:T print:T label:N2@2141 # in leitherer just 2140 #no wl:2140.00    in nist: 2139.01, 2142.77, in chianti NII FeII
wl:2146.64  use:T print:T label:Si7@2148  # no wl:2148.00    in nist
wl:2296.87  use:T print:T label:C3@2297 # leitherer 2297.58, nist 2296.87
wl:2321.66  use:T print:T label:O3@2321 # nist 2320.95 (forbidden line at 2321.66), in chianti this wavelength
wl:2326.00  use:T print:T label:C2@2326 # total C II] 2324.69 + 2328.12
wl:2334.61  use:T print:T label:Si2@2335  # total Si II] 2335 all lines in multiplet # no line of multiplet in wl:2335.00
wl:2412.87  use:T print:T label:Ca5@2413  
wl:2424.42  use:T print:T label:Ne4@2424  
wl:2471.00  use:T print:T label:O2@2471 #leitherer 2470.97 2471.09 # no wl:2471.00  in nist, forbidden
wl:2665.00  use:T print:T label:@2665 
wl:2795.53  use:T print:T label:Mg2@2796  # leitherer wl:2796.35   
wl:2802.71  use:T print:T label:Mg2@2803  # leitherer wl:2803.53   
wl:2798.00  use:F print:F label:@2798 # sum of Mg2 components
wl:2973.13  use:T print:T label:Ne5@2976  # no wl:2976.00    in nist  
wl:3203.18  use:T print:T label:He2PaB@3203 # no wl:3203.30      in nist
wl:3342.18  use:T print:T label:Ne3@3343  # no wl:3343.00     in nist 
wl:3353.17  use:T print:T label:Cl3@3354  # no wl:3354.00      in nist
wl:3425.88  use:T print:T label:Ne5@3426  
wl:3586.32  use:T print:T label:Fe7@3586  
wl:3721.69  use:T print:T label:S3@3722 
wl:3727.32  use:T print:T label:O2@3726 # the highest intensity in nist
wl:3728.00  use:F print:F label:@3727 # sum of O2 components
wl:3729.23  use:T print:T label:O2@3729 
wl:3758.92  use:T print:T label:Fe7@3759  
wl:3868.76  use:T print:T label:Ne3@3869  # no wl:3869.00    in nist  
wl:3888.65  use:T print:T label:He1@3889  
wl:3933.66  use:T print:T label:Ca2@3933  
wl:3934.00  use:T print:T label:Ca2K@3934 
wl:3968.47  use:T print:T label:Ca2H@3969 
wl:3998.00  use:T print:T label:C5@3998 # no nist, nor in cloudy?
wl:4069.19  use:T print:T label:S2@4070 # no wl:4070.00    in nist: 4 068.600, 4 076.349
wl:4074.00  use:F print:T label:S2@4074 # no nist
wl:4076.35  use:T print:T label:S2@4078 # no wl:4078.00      in nist
wl:4101.74  use:T print:T label:HBaD@4102 
wl:4340.47  use:T print:T label:HBaG@4340 
wl:4363.21  use:T print:T label:O3@4363 
